volcano_number,volcano_name,eruption_number,eruption_category,start_year,start_month,start_day,end_year,end_month,end_day,latitude,longitude
252120,Ulawun,22171,Confirmed Eruption,2016.0,10.0,11.0,2016.0,11.0,18.0,-5.05,151.33
282110,Asosan,22174,Confirmed Eruption,2016.0,10.0,7.0,2016.0,11.0,12.0,32.884,131.10399999999998
300130,Karymsky,22178,Confirmed Eruption,2016.0,10.0,5.0,2016.0,10.0,8.0,54.049,159.44299999999998
222120,"Lengai, Ol Doinyo",22305,Confirmed Eruption,2016.0,9.0,21.0,2016.0,10.0,13.0,-2.764,35.914
241040,Whakaari/White Island,22147,Confirmed Eruption,2016.0,9.0,13.0,2016.0,9.0,13.0,-37.52,177.18
354020,Ubinas,22181,Confirmed Eruption,2016.0,9.0,13.0,2017.0,3.0,2.0,-16.355,-70.903
233020,"Fournaise, Piton de la",22145,Confirmed Eruption,2016.0,9.0,11.0,2016.0,9.0,18.0,-21.244,55.708
268060,Gamalama,22150,Confirmed Eruption,2016.0,8.0,3.0,2016.0,8.0,4.0,0.8,127.33
264030,Rinjani,22149,Confirmed Eruption,2016.0,8.0,1.0,2016.0,9.0,27.0,-8.42,116.47
290360,Chikurachki,22153,Confirmed Eruption,2016.0,7.0,27.0,2016.0,8.0,18.0,50.324,155.461
343100,San Miguel,22154,Confirmed Eruption,2016.0,6.0,18.0,2016.0,6.0,18.0,13.434000000000001,-88.26899999999999
273010,Bulusan,22151,Confirmed Eruption,2016.0,6.0,10.0,2017.0,3.0,2.0,12.769,124.056
345040,Poas,22156,Confirmed Eruption,2016.0,6.0,5.0,2016.0,8.0,16.0,10.2,-84.23299999999999
233020,"Fournaise, Piton de la",22144,Confirmed Eruption,2016.0,5.0,26.0,2016.0,5.0,27.0,-21.244,55.708
241040,Whakaari/White Island,22121,Confirmed Eruption,2016.0,4.0,27.0,2016.0,4.0,27.0,-37.52,177.18
390080,Bristol Island,22133,Confirmed Eruption,2016.0,4.0,24.0,2016.0,7.0,19.0,-59.016999999999996,-26.533
344020,San Cristobal,22130,Confirmed Eruption,2016.0,4.0,22.0,2016.0,4.0,22.0,12.702,-87.00399999999999
311240,Cleveland,22128,Confirmed Eruption,2016.0,4.0,16.0,2019.0,1.0,16.0,52.825,-169.94400000000002
252010,Langila,22123,Confirmed Eruption,2016.0,4.0,2.0,2018.0,10.0,30.0,-5.525,148.42
261170,Kerinci,22125,Confirmed Eruption,2016.0,3.0,31.0,2016.0,6.0,9.0,-1.6969999999999998,101.264
390130,Zavodovski,22159,Confirmed Eruption,2016.0,3.0,30.0,2016.0,5.0,16.0,-56.3,-27.57
290360,Chikurachki,22127,Confirmed Eruption,2016.0,3.0,29.0,2016.0,3.0,31.0,50.324,155.461
312030,Pavlof,22129,Confirmed Eruption,2016.0,3.0,27.0,2016.0,7.0,30.0,55.417,-161.894
352090,Sangay,22237,Confirmed Eruption,2016.0,3.0,25.0,2016.0,11.0,17.0,-2.005,-78.34100000000001
273010,Bulusan,22114,Confirmed Eruption,2016.0,2.0,22.0,2016.0,2.0,22.0,12.769,124.056
343100,San Miguel,22117,Confirmed Eruption,2016.0,1.0,12.0,2016.0,1.0,18.0,13.434000000000001,-88.26899999999999
357070,"Chillan, Nevados de",22119,Confirmed Eruption,2016.0,1.0,8.0,2020.0,4.0,17.0,-36.868,-71.378
266030,Soputan,22105,Confirmed Eruption,2016.0,1.0,2.0,2016.0,2.0,7.0,1.112,124.73700000000001
344090,Momotombo,22107,Confirmed Eruption,2015.0,12.0,1.0,2016.0,4.0,7.0,12.423,-86.539
272020,Kanlaon,22106,Confirmed Eruption,2015.0,11.0,24.0,2016.0,6.0,18.0,10.412,123.132
261140,Marapi,22111,Confirmed Eruption,2015.0,11.0,14.0,2015.0,11.0,14.0,-0.38,100.47399999999999
263310,Tengger Caldera,22103,Confirmed Eruption,2015.0,11.0,12.0,2016.0,11.0,12.0,-7.942,112.95
355100,Lascar,22110,Confirmed Eruption,2015.0,10.0,30.0,2017.0,4.0,2.0,-23.37,-67.73
264030,Rinjani,22104,Confirmed Eruption,2015.0,10.0,25.0,2015.0,12.0,24.0,-8.42,116.47
344100,Masaya,22108,Confirmed Eruption,2015.0,10.0,3.0,2020.0,4.0,17.0,11.985,-86.165
290390,Alaid,21096,Confirmed Eruption,2015.0,9.0,29.0,2016.0,8.0,11.0,50.861000000000004,155.565
344040,Telica,21097,Confirmed Eruption,2015.0,9.0,23.0,2016.0,5.0,11.0,12.606,-86.84
357090,Copahue,21098,Confirmed Eruption,2015.0,9.0,18.0,2016.0,12.0,30.0,-37.856,-71.183
266100,Lokon-Empung,21093,Confirmed Eruption,2015.0,8.0,30.0,2015.0,9.0,28.0,1.358,124.792
300260,Klyuchevskoy,21095,Confirmed Eruption,2015.0,8.0,28.0,2018.0,6.0,15.0,56.056000000000004,160.642
352050,Cotopaxi,21088,Confirmed Eruption,2015.0,8.0,14.0,2016.0,1.0,24.0,-0.677,-78.436
343100,San Miguel,22233,Confirmed Eruption,2015.0,8.0,13.0,2015.0,8.0,13.0,13.434000000000001,-88.26899999999999
360160,Kick 'em Jenny,21090,Confirmed Eruption,2015.0,7.0,23.0,2015.0,7.0,24.0,12.3,-61.64
268060,Gamalama,21087,Confirmed Eruption,2015.0,7.0,16.0,2015.0,9.0,8.0,0.8,127.33
264270,Sirung,21086,Confirmed Eruption,2015.0,7.0,7.0,2015.0,7.0,8.0,-8.508,124.13
283020,Hakoneyama,21080,Confirmed Eruption,2015.0,6.0,29.0,2015.0,7.0,1.0,35.233000000000004,139.02100000000002
354006,Sabancaya,21089,Confirmed Eruption,2015.0,6.0,28.0,2015.0,7.0,9.0,-15.787,-71.857
263170,Cereme,21079,Uncertain Eruption,2015.0,6.0,24.0,2015.0,6.0,24.0,-6.895,108.40799999999999
222120,"Lengai, Ol Doinyo",22304,Confirmed Eruption,2015.0,6.0,20.0,2015.0,8.0,24.0,-2.764,35.914
283110,Asamayama,21081,Confirmed Eruption,2015.0,6.0,16.0,2015.0,6.0,16.0,36.406,138.523
345020,Rincon de la Vieja,22132,Confirmed Eruption,2015.0,6.0,16.0,2016.0,5.0,1.0,10.83,-85.324
342110,Pacaya,22157,Confirmed Eruption,2015.0,6.0,7.0,2020.0,4.0,17.0,14.382,-90.601
282050,Kuchinoerabujima,21073,Confirmed Eruption,2015.0,5.0,29.0,2015.0,6.0,19.0,30.443,130.217
353020,Wolf,21075,Confirmed Eruption,2015.0,5.0,25.0,2015.0,6.0,2.0,0.02,-91.35
266100,Lokon-Empung,21071,Confirmed Eruption,2015.0,5.0,20.0,2015.0,5.0,27.0,1.358,124.792
344040,Telica,21074,Confirmed Eruption,2015.0,5.0,7.0,2015.0,5.0,28.0,12.606,-86.84
273010,Bulusan,21072,Confirmed Eruption,2015.0,5.0,1.0,2015.0,7.0,17.0,12.769,124.056
331021,Axial Seamount,21092,Confirmed Eruption,2015.0,4.0,23.0,2015.0,5.0,24.0,45.95,-130.0
358020,Calbuco,21076,Confirmed Eruption,2015.0,4.0,22.0,2015.0,5.0,26.0,-41.33,-72.618
345070,Turrialba,20998,Confirmed Eruption,2015.0,3.0,8.0,2019.0,10.0,28.0,10.025,-83.76700000000001
344020,San Cristobal,22268,Confirmed Eruption,2015.0,3.0,5.0,2015.0,6.0,12.0,12.702,-87.00399999999999
290360,Chikurachki,20990,Confirmed Eruption,2015.0,2.0,16.0,2015.0,2.0,18.0,50.324,155.461
233020,"Fournaise, Piton de la",20982,Confirmed Eruption,2015.0,2.0,4.0,2015.0,10.0,31.0,-21.244,55.708
263340,Raung,21070,Confirmed Eruption,2015.0,2.0,1.0,2015.0,8.0,22.0,-8.119,114.056
343100,San Miguel,20994,Confirmed Eruption,2015.0,1.0,26.0,2015.0,4.0,11.0,13.434000000000001,-88.26899999999999
352090,Sangay,22236,Confirmed Eruption,2015.0,1.0,19.0,2015.0,4.0,7.0,-2.005,-78.34100000000001
266030,Soputan,20988,Confirmed Eruption,2015.0,1.0,6.0,2015.0,3.0,7.0,1.112,124.73700000000001
